what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246229748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246246736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246246769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246252088
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339246284943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1339246304022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339246310215
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339246314598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339246323880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246468241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246468273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246468288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246471081
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1339246471112
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339246472110
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339246506883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246521406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339246524277
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1339246524355
error,log,,,"Internal Error",1339246528286
